City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
335,timimoun,29.2639,0.231,34.21,24,0,4.12,DZ,1727727872
336,usogorsk,63.4106,48.6872,4.52,80,7,4.11,RU,1727727873
337,prince rupert,54.3161,-130.3201,8.83,81,100,18.01,CA,1727727874
338,dryden,49.7833,-92.7503,21.16,60,100,6.17,CA,1727727614
339,whitehorse,60.7161,-135.0538,5.61,69,40,1.03,CA,1727727877
340,zouerate,22.7187,-12.4521,33.48,22,100,4.88,MR,1727727879
341,kuqa,41.7278,82.9364,13.15,42,6,2.48,CN,1727727613
342,alotau,-10.3069,150.4462,23.78,98,64,1.43,PG,1727727882
343,borisovka,50.6236,35.9903,18.23,28,0,7.32,RU,1727727883
344,khairagarh,26.95,77.8167,27.44,68,0,3.14,IN,1727727884
345,bocana de paiwas,12.7857,-85.1227,27.75,82,91,2.11,NI,1727727886
346,riohacha,11.5444,-72.9072,30.06,70,20,3.09,CO,1727727887
347,port blair,11.6667,92.75,28.02,83,40,1.03,IN,1727727889
348,puttalam,8.0362,79.8283,27.55,80,42,4.16,LK,1727727890
349,bainbridge,47.6262,-122.5212,18.77,55,20,3.09,US,1727727892
350,usinsk,65.9939,57.5281,3.69,82,57,9.58,RU,1727727893
351,rawson,-43.3002,-65.1023,7.16,65,75,4.63,AR,1727727807
352,kristiansund,63.1115,7.732,11.36,66,75,2.57,NO,1727727896
353,dubbo,-32.25,148.6167,8.07,81,40,4.63,AU,1727727898
354,parapat,2.663,98.9349,19.82,92,99,0.16,ID,1727727899
355,nuuk,64.1835,-51.7216,2.34,100,100,7.72,GL,1727727901
356,fada,7.25,4.0667,23.13,99,100,2.11,NG,1727727902
357,sechura,-5.5569,-80.8222,24.94,59,29,6.95,PE,1727727904
358,talakan,50.3167,130.3667,1.06,87,93,1.15,RU,1727727905
359,enid,36.3956,-97.8784,33.82,24,0,3.09,US,1727727907
360,grand falls-windsor,48.9332,-55.6649,13.06,92,100,0.45,CA,1727727909
361,nova vicosa,-17.8919,-39.3719,25.09,73,13,4.1,BR,1727727910
362,baidoa,3.1138,43.6498,24.69,65,97,6.47,SO,1727727912
